Index,max,median,variance,UV_Index,DO mgO2/l,Na(mg/l),SO4 (mg/l),classification
423,19,5.5,249.27,0.0,2.97,2.727,6.416,1
424,160,69.0,19772.9,0.0,3.44,5.053,5.19,0
425,40,28.0,459.98,0.0012799999999999999,3.56,5.84,6.145,1
426,29,11.0,347.81,0.0,4.08,4.352,8.756,1
427,5,4.0,11.75,0.0,5.27,3.868,5.717,1
428,122,43.0,8437.73,0.0,3.66,5.354,7.685,0
429,6,4.0,9.09,37.23304,4.05,5.457,14.298,1
430,33,9.6,639.59,14.058320000000002,4.04,4.64,8.147,1
431,41,16.0,903.67,0.16550000000000004,3.43,3.555,5.208,1
432,12,7.0,193.34,0.0,4.13,3.456,5.19,1
433,159,91.0,11923.0,0.0,2.94,5.0,5.652,0
434,43,16.0,1352.6,2.0347880000000003,4.08,92.9101613832853,5.727,1
